,location,forecast_date,target,type,type_id,value
109,08,2023-01-30,2 wk flu hosp rate change,category,decrease,6.933559699630639e-29
110,09,2023-01-30,2 wk flu hosp rate change,category,decrease,0.0
111,10,2023-01-30,2 wk flu hosp rate change,category,decrease,6.0527649529124794e-27
112,11,2023-01-30,2 wk flu hosp rate change,category,decrease,0.0
113,12,2023-01-30,2 wk flu hosp rate change,category,decrease,0.0012420234177297198
114,13,2023-01-30,2 wk flu hosp rate change,category,decrease,2.908064545702199e-153
115,15,2023-01-30,2 wk flu hosp rate change,category,decrease,2.41677795200158e-15
116,16,2023-01-30,2 wk flu hosp rate change,category,decrease,4.41940721022865e-19
117,17,2023-01-30,2 wk flu hosp rate change,category,decrease,2.3477470274264692e-71
118,18,2023-01-30,2 wk flu hosp rate change,category,decrease,2.44500689848e-18
119,19,2023-01-30,2 wk flu hosp rate change,category,decrease,3.84201564725743e-07
120,20,2023-01-30,2 wk flu hosp rate change,category,decrease,8.212352511018629e-60
121,21,2023-01-30,2 wk flu hosp rate change,category,decrease,0.00277515465703779
122,22,2023-01-30,2 wk flu hosp rate change,category,decrease,1.4327965513567599e-18
123,23,2023-01-30,2 wk flu hosp rate change,category,decrease,0.00147528708279969
124,24,2023-01-30,2 wk flu hosp rate change,category,decrease,0.0
125,25,2023-01-30,2 wk flu hosp rate change,category,decrease,0.000128798278551309
126,26,2023-01-30,2 wk flu hosp rate change,category,decrease,1.1622436876124199e-10
127,27,2023-01-30,2 wk flu hosp rate change,category,decrease,0.0
128,28,2023-01-30,2 wk flu hosp rate change,category,decrease,3.29202374553909e-16
129,29,2023-01-30,2 wk flu hosp rate change,category,decrease,4.42503261458826e-25
130,30,2023-01-30,2 wk flu hosp rate change,category,decrease,2.02232644431391e-10
131,31,2023-01-30,2 wk flu hosp rate change,category,decrease,3.7402011722640205e-13
132,32,2023-01-30,2 wk flu hosp rate change,category,decrease,0.0035619002152861
133,33,2023-01-30,2 wk flu hosp rate change,category,decrease,9.251170682262511e-10
134,34,2023-01-30,2 wk flu hosp rate change,category,decrease,8.639550938608979e-19
135,35,2023-01-30,2 wk flu hosp rate change,category,decrease,8.4327189375517e-08
136,36,2023-01-30,2 wk flu hosp rate change,category,decrease,3.61929974657563e-34
137,37,2023-01-30,2 wk flu hosp rate change,category,decrease,0.0
138,38,2023-01-30,2 wk flu hosp rate change,category,decrease,0.0233241795311381
139,39,2023-01-30,2 wk flu hosp rate change,category,decrease,6.185240350633089e-68
140,40,2023-01-30,2 wk flu hosp rate change,category,decrease,1.08589351734131e-06
141,41,2023-01-30,2 wk flu hosp rate change,category,decrease,3.26476919890164e-08
142,42,2023-01-30,2 wk flu hosp rate change,category,decrease,7.66565597466514e-37
143,44,2023-01-30,2 wk flu hosp rate change,category,decrease,0.0
144,45,2023-01-30,2 wk flu hosp rate change,category,decrease,2.8658384382250296e-49
145,46,2023-01-30,2 wk flu hosp rate change,category,decrease,4.24343832799609e-20
146,47,2023-01-30,2 wk flu hosp rate change,category,decrease,2.3548150074434994e-116
147,48,2023-01-30,2 wk flu hosp rate change,category,decrease,1.3437310083056398e-15
148,49,2023-01-30,2 wk flu hosp rate change,category,decrease,7.309431666029419e-40
149,50,2023-01-30,2 wk flu hosp rate change,category,decrease,7.35148793106412e-09
150,51,2023-01-30,2 wk flu hosp rate change,category,decrease,2.8346288470345593e-96
151,53,2023-01-30,2 wk flu hosp rate change,category,decrease,6.51302040032104e-05
152,54,2023-01-30,2 wk flu hosp rate change,category,decrease,0.00168321716237999
153,55,2023-01-30,2 wk flu hosp rate change,category,decrease,4.3028882392816594e-89
154,56,2023-01-30,2 wk flu hosp rate change,category,decrease,0.0
155,US,2023-01-30,2 wk flu hosp rate change,category,decrease,1.00733245844388e-08
156,01,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
157,02,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
158,04,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
159,05,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
160,06,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
161,08,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
162,09,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
163,10,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
164,11,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
165,12,2023-01-30,2 wk flu hosp rate change,category,large_increase,5.6942067172549604e-08
166,13,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
167,15,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
168,16,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
169,17,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
170,18,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
171,19,2023-01-30,2 wk flu hosp rate change,category,large_increase,6.92361633702898e-06
172,20,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
173,21,2023-01-30,2 wk flu hosp rate change,category,large_increase,2.21986873327751e-11
174,22,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
175,23,2023-01-30,2 wk flu hosp rate change,category,large_increase,2.78643152296087e-06
176,24,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
177,25,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
178,26,2023-01-30,2 wk flu hosp rate change,category,large_increase,7.10893426836279e-06
179,27,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
180,28,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
181,29,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
182,30,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
183,31,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
184,32,2023-01-30,2 wk flu hosp rate change,category,large_increase,1.11022302462516e-16
185,33,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
186,34,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
187,35,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
188,36,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
189,37,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
190,38,2023-01-30,2 wk flu hosp rate change,category,large_increase,2.2204460492503099e-16
191,39,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
192,40,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
193,41,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
194,42,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
195,44,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
196,45,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
197,46,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
198,47,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
199,48,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
200,49,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
201,50,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
202,51,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
203,53,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
204,54,2023-01-30,2 wk flu hosp rate change,category,large_increase,1.11022302462516e-16
205,55,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
206,56,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
207,US,2023-01-30,2 wk flu hosp rate change,category,large_increase,0.0
208,01,2023-01-30,2 wk flu hosp rate change,category,large_decrease,0.0
209,02,2023-01-30,2 wk flu hosp rate change,category,large_decrease,1.3620187352910694e-177
210,04,2023-01-30,2 wk flu hosp rate change,category,large_decrease,6.985207099738939e-43
211,05,2023-01-30,2 wk flu hosp rate change,category,large_decrease,5.557595543054389e-58
212,06,2023-01-30,2 wk flu hosp rate change,category,large_decrease,1.2140452577178995e-139
213,08,2023-01-30,2 wk flu hosp rate change,category,large_decrease,2.3823673216596595e-107
214,09,2023-01-30,2 wk flu hosp rate change,category,large_decrease,0.0
215,10,2023-01-30,2 wk flu hosp rate change,category,large_decrease,5.390693173192539e-102
216,11,2023-01-30,2 wk flu hosp rate change,category,large_decrease,0.0
217,12,2023-01-30,2 wk flu hosp rate change,category,large_decrease,3.2884492341812e-09
218,13,2023-01-30,2 wk flu hosp rate change,category,large_decrease,0.0
219,15,2023-01-30,2 wk flu hosp rate change,category,large_decrease,1.2729506007321998e-53
220,16,2023-01-30,2 wk flu hosp rate change,category,large_decrease,4.680361944969699e-58
221,17,2023-01-30,2 wk flu hosp rate change,category,large_decrease,0.0
222,18,2023-01-30,2 wk flu hosp rate change,category,large_decrease,5.81386163360344e-104
223,19,2023-01-30,2 wk flu hosp rate change,category,large_decrease,4.50203142681843e-16
224,20,2023-01-30,2 wk flu hosp rate change,category,large_decrease,0.0
225,21,2023-01-30,2 wk flu hosp rate change,category,large_decrease,1.88661170339754e-09
226,22,2023-01-30,2 wk flu hosp rate change,category,large_decrease,2.9689113470596094e-90
227,23,2023-01-30,2 wk flu hosp rate change,category,large_decrease,2.1535395450478602e-08
228,24,2023-01-30,2 wk flu hosp rate change,category,large_decrease,0.0
229,25,2023-01-30,2 wk flu hosp rate change,category,large_decrease,8.00123024418147e-24
230,26,2023-01-30,2 wk flu hosp rate change,category,large_decrease,2.12828479320686e-23
231,27,2023-01-30,2 wk flu hosp rate change,category,large_decrease,0.0
232,28,2023-01-30,2 wk flu hosp rate change,category,large_decrease,1.4032902431383598e-72
233,29,2023-01-30,2 wk flu hosp rate change,category,large_decrease,4.5247514921694287e-125
234,30,2023-01-30,2 wk flu hosp rate change,category,large_decrease,2.0739937015565e-47
235,31,2023-01-30,2 wk flu hosp rate change,category,large_decrease,4.546519054694719e-44
236,32,2023-01-30,2 wk flu hosp rate change,category,large_decrease,1.1132737072099801e-10
237,33,2023-01-30,2 wk flu hosp rate change,category,large_decrease,2.29816197079045e-31
238,34,2023-01-30,2 wk flu hosp rate change,category,large_decrease,5.684756376185438e-113
239,35,2023-01-30,2 wk flu hosp rate change,category,large_decrease,1.7738079842779597e-55
240,36,2023-01-30,2 wk flu hosp rate change,category,large_decrease,1.4500954517671795e-187
241,37,2023-01-30,2 wk flu hosp rate change,category,large_decrease,0.0
242,38,2023-01-30,2 wk flu hosp rate change,category,large_decrease,4.10922756582915e-08
243,39,2023-01-30,2 wk flu hosp rate change,category,large_decrease,2.0454533072488387e-290
244,40,2023-01-30,2 wk flu hosp rate change,category,large_decrease,1.30846707744097e-22
245,41,2023-01-30,2 wk flu hosp rate change,category,large_decrease,8.30361041087181e-33
246,42,2023-01-30,2 wk flu hosp rate change,category,large_decrease,2.0832259040426094e-132
247,44,2023-01-30,2 wk flu hosp rate change,category,large_decrease,0.0
248,45,2023-01-30,2 wk flu hosp rate change,category,large_decrease,9.554922422879997e-206
249,46,2023-01-30,2 wk flu hosp rate change,category,large_decrease,2.828258618004099e-97
250,47,2023-01-30,2 wk flu hosp rate change,category,large_decrease,0.0
251,48,2023-01-30,2 wk flu hosp rate change,category,large_decrease,1.61664043673994e-78
252,49,2023-01-30,2 wk flu hosp rate change,category,large_decrease,3.868472684061919e-148
253,50,2023-01-30,2 wk flu hosp rate change,category,large_decrease,1.1069637772059199e-32
254,51,2023-01-30,2 wk flu hosp rate change,category,large_decrease,0.0
255,53,2023-01-30,2 wk flu hosp rate change,category,large_decrease,6.23978999568748e-24
256,54,2023-01-30,2 wk flu hosp rate change,category,large_decrease,1.35846126926049e-11
257,55,2023-01-30,2 wk flu hosp rate change,category,large_decrease,0.0
258,56,2023-01-30,2 wk flu hosp rate change,category,large_decrease,0.0
259,US,2023-01-30,2 wk flu hosp rate change,category,large_decrease,1.7041964923711199e-40
