forecast_date,target,target_end_date,type,quantile,value,location,count_rate1per100k,count_rate2per100k
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.85,5256.842158305863,06,392,785
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.9,6239.694383283734,06,392,785
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.95,8312.730242565824,06,392,785
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.975,11137.8335657525,06,392,785
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.99,25500.718063887834,06,392,785
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.01,49.24558087320739,06,392,785
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.025,184.22478170694288,06,392,785
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.05,324.8882265034677,06,392,785
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.1,617.4303079217506,06,392,785
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.15,820.3600605522175,06,392,785
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.2,993.4017220800855,06,392,785
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.25,1169.023681792417,06,392,785
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.3,1294.7033732018542,06,392,785
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.35,1441.2120512594834,06,392,785
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.4,1571.205709190134,06,392,785
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.45,1679.6308519050851,06,392,785
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.5,1782.8328415462106,06,392,785
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.55,1931.729274688324,06,392,785
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.6,2066.2936305040384,06,392,785
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.65,2282.8666068651023,06,392,785
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.7,2504.0255904700844,06,392,785
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.75,2883.738991809598,06,392,785
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.8,3307.914520678454,06,392,785
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.85,3878.857244332425,06,392,785
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.9,5143.2600882845145,06,392,785
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.95,7086.42222018966,06,392,785
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.975,15614.173711160618,06,392,785
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.99,33576.986102893134,06,392,785
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.01,46.7029684365328,06,392,785
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.025,116.5877542681231,06,392,785
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.05,248.24453031173513,06,392,785
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.1,407.4194777096947,06,392,785
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.15,550.0767468571063,06,392,785
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.2,682.3461740001691,06,392,785
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.25,786.7597399669323,06,392,785
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.3,918.1864212751788,06,392,785
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.35,1029.575735288069,06,392,785
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.4,1151.6608727652674,06,392,785
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.45,1251.069036226774,06,392,785
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.5,1376.023673898216,06,392,785
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.55,1483.9116075425964,06,392,785
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.6,1624.8302291803363,06,392,785
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.65,1802.688379591274,06,392,785
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.7,1993.951890722634,06,392,785
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.75,2388.3158653569308,06,392,785
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.8,2878.788954715573,06,392,785
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.85,3539.046465907125,06,392,785
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.9,4762.208663235547,06,392,785
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.95,7264.571265103404,06,392,785
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.975,12141.055412559941,06,392,785
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.99,26483.88137950488,06,392,785
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.01,25.205131086022735,08,58,116
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.025,46.06516319088205,08,58,116
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.05,80.4686398437264,08,58,116
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.1,121.81671305276507,08,58,116
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.15,153.51720339952007,08,58,116
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.2,178.33659996470368,08,58,116
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.25,192.84882401446777,08,58,116
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.3,195.32270996367959,08,58,116
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.35,197.21929639126975,08,58,116
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.4,200.36687336217773,08,58,116
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.45,202.26969370896578,08,58,116
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.5,212.0748572082998,08,58,116
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.55,221.13344059355734,08,58,116
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.6,239.9543595604954,08,58,116
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.65,253.02212136882338,08,58,116
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.7,267.8747391238719,08,58,116
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.75,287.1903523736917,08,58,116
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.8,321.98564926635635,08,58,116
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.85,353.68952147996225,08,58,116
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.9,441.83633673779343,08,58,116
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.95,541.2782946250953,08,58,116
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.975,832.3096798028427,08,58,116
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.99,1298.3592300056098,08,58,116
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.01,17.2600240706415,08,58,116
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.025,30.294700109282754,08,58,116
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.05,48.219515268048475,08,58,116
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.1,79.23252026585074,08,58,116
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.15,110.40316863905788,08,58,116
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.2,132.26332405959525,08,58,116
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.25,150.5509304692406,08,58,116
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.3,163.70149332011064,08,58,116
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.35,172.5659255859377,08,58,116
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.4,184.6622047075382,08,58,116
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.45,198.83782692221234,08,58,116
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.5,208.25623658943658,08,58,116
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.55,225.05693698086014,08,58,116
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.6,240.99862217529642,08,58,116
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.65,259.73311946173914,08,58,116
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.7,284.3511238489465,08,58,116
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.75,314.8008060660883,08,58,116
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.8,356.5217993595863,08,58,116
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.85,403.64895921274274,08,58,116
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.9,523.9063227626036,08,58,116
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.95,843.2959315425035,08,58,116
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.975,1178.5986024216888,08,58,116
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.99,1802.9534129762365,08,58,116
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.01,9.067156402376378,08,58,116
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.025,17.350307815833133,08,58,116
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.05,27.863826608743633,08,58,116
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.1,55.01181623588419,08,58,116
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.15,71.35436660394983,08,58,116
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.2,88.36961682883796,08,58,116
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.25,107.87952529529181,08,58,116
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.3,123.31597266720007,08,58,116
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.35,135.27501102457495,08,58,116
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.4,148.67853568431048,08,58,116
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.45,160.5199486691683,08,58,116
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.5,178.46314355397254,08,58,116
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.55,195.6819776369842,08,58,116
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.6,212.5534763515014,08,58,116
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.65,240.73537624972914,08,58,116
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.7,269.8197825423113,08,58,116
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.75,312.8332208235671,08,58,116
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.8,377.4607442015753,08,58,116
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.85,467.4127164639551,08,58,116
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.9,612.7861618654762,08,58,116
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.95,980.897023836699,08,58,116
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.975,1317.68336613994,08,58,116
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,quantile,0.99,1762.9592678042204,08,58,116
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.01,6.421535936891831,08,58,116
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.025,11.484491249228922,08,58,116
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.05,20.080534383974186,08,58,116
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.1,33.33254061400951,08,58,116
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.15,51.600360291793635,08,58,116
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.2,65.62897563001769,08,58,116
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.25,78.4267379097102,08,58,116
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.3,96.6549941992387,08,58,116
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.35,108.2219741534975,08,58,116
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.4,122.30918479403131,08,58,116
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.45,136.3958129986456,08,58,116
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.5,155.2483339072773,08,58,116
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.55,173.5457972800742,08,58,116
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.6,194.07065433907178,08,58,116
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.65,220.76300321244923,08,58,116
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.7,254.92345142658917,08,58,116
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.75,301.0761051060302,08,58,116
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.8,368.5854150597414,08,58,116
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.85,462.70180896693034,08,58,116
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.9,636.9295122012119,08,58,116
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.95,986.275202753862,08,58,116
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.975,1262.9824314446937,08,58,116
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,quantile,0.99,1956.8341641964032,08,58,116
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.01,34.31483030690812,09,36,72
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.025,57.758709511804746,09,36,72
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.05,146.90372882396898,09,36,72
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.1,253.2461561091565,09,36,72
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.15,329.48820949851626,09,36,72
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.2,375.3286750396702,09,36,72
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.25,386.4869387295056,09,36,72
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.3,392.13997867908796,09,36,72
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.35,410.02053172879346,09,36,72
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.4,413.37166722426286,09,36,72
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.45,413.5986359164424,09,36,72
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.5,415.536555438086,09,36,72
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.55,422.17262056354735,09,36,72
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.6,445.7821875193837,09,36,72
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.65,484.64644301639885,09,36,72
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.7,537.2000183498502,09,36,72
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.75,600.260260325567,09,36,72
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.8,653.0608868491643,09,36,72
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.85,756.9326145870542,09,36,72
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.9,883.8494274632789,09,36,72
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.95,1239.502549299038,09,36,72
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.975,1486.1562352903545,09,36,72
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.99,2130.9889637524398,09,36,72
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.01,49.22273607298472,09,36,72
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.025,81.03280985122737,09,36,72
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.05,126.57148099865663,09,36,72
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.1,209.68930935292832,09,36,72
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.15,257.397247920681,09,36,72
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.2,309.0756504479568,09,36,72
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.25,335.0824089279752,09,36,72
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.3,354.86675101685387,09,36,72
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.35,376.5321527012102,09,36,72
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.4,390.37799858764686,09,36,72
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.45,413.5006443671566,09,36,72
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.5,451.08535606897726,09,36,72
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.55,486.6007767862868,09,36,72
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.6,532.5080846158578,09,36,72
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.65,584.3731530295188,09,36,72
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.7,635.6257417403455,09,36,72
