"value","quantile","type","forecast_date","target","target_end_date","location"
117.0375,0.3,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
117.4875,0.35,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
117.9875,0.4,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
118.99375,0.45,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
119.5,0.5,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
120.00625,0.55,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
121.1,0.6,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
122.025,0.65,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
123.7125,0.7,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
132.4875,0.75,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
142.8375,0.8,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
148.1875,0.85,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
151.3375,0.9,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
153.2125,0.95,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
153.6625,0.975,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
153.92125,0.99,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
117,NA,"point",2022-01-24,"1 week ahead","2022-01-30","US"
109.4725,0.01,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
111.025,0.025,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
113.725,0.05,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
115,0.1,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
115,0.15,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
116.1,0.2,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
119.7,0.25,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
123.225,0.3,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
126.4125,0.35,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
129.3875,0.4,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
130,0.45,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
130,0.5,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
130,0.55,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
130.0875,0.6,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
130.5125,0.65,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
131.0375,0.7,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
132.2375,0.75,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
133.5875,0.8,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
134,0.85,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
134,0.9,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
147.3875,0.95,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
175.7375,0.975,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
192.03875,0.99,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
134,NA,"point",2022-01-24,"1 week ahead","2022-01-30","US"
124.4725,0.01,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
126.025,0.025,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
128.725,0.05,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
135.4625,0.1,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
145.8125,0.15,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
154.5125,0.2,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
159.4625,0.25,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
164.0375,0.3,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
166.925,0.35,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
169.475,0.4,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
170,0.45,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
170,0.5,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
170,0.55,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
170,0.6,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
170,0.65,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
170.075,0.7,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
170.825,0.75,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
171.725,0.8,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
172.9375,0.85,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
174.2875,0.9,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
175.85,0.95,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
177.65,0.975,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
178.685,0.99,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
166,NA,"point",2022-01-24,"1 week ahead","2022-01-30","US"
112.23625,0.01,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
113.0125,0.025,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
114.3625,0.05,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
115.7125,0.1,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
117.0625,0.15,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
119.7875,0.2,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
125.6375,0.25,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
130.9625,0.3,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
133.925,0.35,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
136.6,0.4,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
138.65625,0.45,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
139.5,0.5,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
140.34375,0.55,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
142.575,0.6,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
146.1,0.65,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
149.475,0.7,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
150.825,0.75,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
151.725,0.8,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
157,0.85,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
164.2,0.9,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
169.9125,0.95,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
173.9625,0.975,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
176.29125,0.99,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
142,NA,"point",2022-01-24,"1 week ahead","2022-01-30","US"
126.315,0.01,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
127.35,0.025,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
129.15,0.05,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
134.0375,0.1,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
141.6875,0.15,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
147.9625,0.2,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
151.1125,0.25,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
153.7375,0.3,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
154,0.35,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
154.15,0.4,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
155.9875,0.45,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
157,0.5,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
158.0125,0.55,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
160.025,0.6,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
161.025,0.65,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
161.8875,0.7,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
162.4125,0.75,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
162.8625,0.8,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
168.625,0.85,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
176.725,0.9,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
182.7,0.95,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
186.3,0.975,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
188.37,0.99,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
157,NA,"point",2022-01-24,"1 week ahead","2022-01-30","US"
90.7875,0.01,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
93.375,0.025,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
97.875,0.05,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
101.1875,0.1,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
103.4375,0.15,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
106.1,0.2,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
109.7,0.25,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
112.775,0.3,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
113.4875,0.35,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
113.9875,0.4,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
114.99375,0.45,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
115.5,0.5,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
116.00625,0.55,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
117.975,0.6,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
123.15,0.65,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
128.325,0.7,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
131.475,0.75,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
134.175,0.8,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
139.6875,0.85,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
146.4375,0.9,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
151.275,0.95,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
153.975,0.975,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
155.5275,0.99,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
129,NA,"point",2022-01-24,"1 week ahead","2022-01-30","US"
283.70875,0.01,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
286.0375,0.025,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
290.0875,0.05,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
292.95,0.1,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
294.75,0.15,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
296.55,0.2,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
298.35,0.25,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
300.075,0.3,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
301.4625,0.35,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
303.0375,0.4,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
306.975,0.45,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
309,0.5,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
311.025,0.55,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
315.575,0.6,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
320.125,0.65,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
324.25,0.7,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
325,0.75,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
325,0.8,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
350.9375,0.85,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
388.2875,0.9,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
410.975,0.95,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
417.275,0.975,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
420.8975,0.99,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
305,NA,"point",2022-01-24,"2 week ahead","2022-02-06","US"
268.33875,0.01,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
272.7375,0.025,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
280.3875,0.05,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
285.425,0.1,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
288.125,0.15,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
290,0.2,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
290,0.25,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
290.675,0.3,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
294.3875,0.35,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
298.2625,0.4,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
299.6625,0.45,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
300,0.5,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
300.3375,0.55,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
301.0375,0.6,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
301.5125,0.65,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
301.9625,0.7,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
302.4125,0.75,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
302.8625,0.8,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
307.0625,0.85,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
312.9125,0.9,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
316.2125,0.95,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
316.6625,0.975,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
316.92125,0.99,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
303,NA,"point",2022-01-24,"2 week ahead","2022-02-06","US"
283.1575,0.01,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
283.675,0.025,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
284.575,0.05,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
285.475,0.1,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
286.375,0.15,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
287.275,0.2,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
288.175,0.25,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
289,0.3,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
289.4875,0.35,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
289.9875,0.4,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
290.99375,0.45,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
291.5,0.5,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
292.00625,0.55,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
293.625,0.6,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
297.1,0.65,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
300.4375,0.7,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
301.4125,0.75,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
301.8625,0.8,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
307.9375,0.85,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
316.4875,0.9,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
324.4,0.95,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
331.6,0.975,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
335.74,0.99,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
289,NA,"point",2022-01-24,"2 week ahead","2022-02-06","US"
151.26875,0.01,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
178.4375,0.025,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
225.6875,0.05,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
252.9875,0.1,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
262.4375,0.15,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
270.2375,0.2,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
274.2875,0.25,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
277.6625,0.3,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
278,0.35,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
278.1,0.4,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
279.325,0.45,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
280,0.5,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
280.675,0.55,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
282.6,0.6,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
286.1,0.65,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
289.7,0.7,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
293.3,0.75,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
296.9,0.8,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
335.8125,0.85,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
390.2625,0.9,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
446.2,0.95,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
503.8,0.975,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
536.92,0.99,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
278,NA,"point",2022-01-24,"2 week ahead","2022-02-06","US"
250.44125,0.01,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
258.4625,0.025,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
272.4125,0.05,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
279.2375,0.1,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
279.6875,0.15,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
280.1375,0.2,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
280.5875,0.25,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
281.1125,0.3,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
281.975,0.35,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
282.85,0.4,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
283.33125,0.45,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
283.5,0.5,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
283.66875,0.55,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
284.4125,0.6,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
286.5625,0.65,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
288.7375,0.7,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
290.2375,0.75,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
291.5875,0.8,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
293.25,0.85,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
295.05,0.9,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
297.7,0.95,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
301.3,0.975,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
303.37,0.99,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
289,NA,"point",2022-01-24,"2 week ahead","2022-02-06","US"
271.55125,0.01,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
273.3625,0.025,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
276.5125,0.05,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
280.1375,0.1,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
284.1875,0.15,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
287.275,0.2,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
288.175,0.25,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
289.45,0.3,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
292.4125,0.35,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
295.3875,0.4,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
296,0.45,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
296,0.5,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
296,0.55,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
296,0.6,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
296,0.65,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
296.4875,0.7,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
301.3625,0.75,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
307.2125,0.8,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
310.5625,0.85,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
312.8125,0.9,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
323.5625,0.95,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
343.8125,0.975,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
355.45625,0.99,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
296,NA,"point",2022-01-24,"2 week ahead","2022-02-06","US"
128.8675,0.01,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
164.575,0.025,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
226.675,0.05,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
258.375,0.1,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
262.875,0.15,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
266.1375,0.2,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
266.5875,0.25,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
267.4875,0.3,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
270.4125,0.35,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
273.5375,0.4,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
275.9875,0.45,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
277,0.5,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
278.0125,0.55,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
279.85,0.6,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
280,0.65,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
280.0375,0.7,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
280.4125,0.75,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
280.8625,0.8,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
290.375,0.85,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
303.875,0.9,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
316.95,0.95,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
329.55,0.975,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
336.795,0.99,"quantile",2022-01-24,"2 week ahead","2022-02-06","US"
280,NA,"point",2022-01-24,"2 week ahead","2022-02-06","US"
279.1575,0.01,"quantile",2022-01-24,"3 week ahead","2022-02-13","US"
279.675,0.025,"quantile",2022-01-24,"3 week ahead","2022-02-13","US"
280.575,0.05,"quantile",2022-01-24,"3 week ahead","2022-02-13","US"
281.2375,0.1,"quantile",2022-01-24,"3 week ahead","2022-02-13","US"
281.6875,0.15,"quantile",2022-01-24,"3 week ahead","2022-02-13","US"
284.75,0.2,"quantile",2022-01-24,"3 week ahead","2022-02-13","US"
293.75,0.25,"quantile",2022-01-24,"3 week ahead","2022-02-13","US"
301.25,0.3,"quantile",2022-01-24,"3 week ahead","2022-02-13","US"
302,0.35,"quantile",2022-01-24,"3 week ahead","2022-02-13","US"
302.05,0.4,"quantile",2022-01-24,"3 week ahead","2022-02-13","US"
302.6625,0.45,"quantile",2022-01-24,"3 week ahead","2022-02-13","US"
303,0.5,"quantile",2022-01-24,"3 week ahead","2022-02-13","US"
303.3375,0.55,"quantile",2022-01-24,"3 week ahead","2022-02-13","US"
304.825,0.6,"quantile",2022-01-24,"3 week ahead","2022-02-13","US"
309.125,0.65,"quantile",2022-01-24,"3 week ahead","2022-02-13","US"
313.625,0.7,"quantile",2022-01-24,"3 week ahead","2022-02-13","US"
318.125,0.75,"quantile",2022-01-24,"3 week ahead","2022-02-13","US"
322.625,0.8,"quantile",2022-01-24,"3 week ahead","2022-02-13","US"
326.1875,0.85,"quantile",2022-01-24,"3 week ahead","2022-02-13","US"
329.3375,0.9,"quantile",2022-01-24,"3 week ahead","2022-02-13","US"
343.75,0.95,"quantile",2022-01-24,"3 week ahead","2022-02-13","US"
370.75,0.975,"quantile",2022-01-24,"3 week ahead","2022-02-13","US"
386.275,0.99,"quantile",2022-01-24,"3 week ahead","2022-02-13","US"
300,NA,"point",2022-01-24,"3 week ahead","2022-02-13","US"
258.39375,0.01,"quantile",2022-01-24,"3 week ahead","2022-02-13","US"
259.6875,0.025,"quantile",2022-01-24,"3 week ahead","2022-02-13","US"
261.9375,0.05,"quantile",2022-01-24,"3 week ahead","2022-02-13","US"
263.475,0.1,"quantile",2022-01-24,"3 week ahead","2022-02-13","US"
264.375,0.15,"quantile",2022-01-24,"3 week ahead","2022-02-13","US"
266.925,0.2,"quantile",2022-01-24,"3 week ahead","2022-02-13","US"
